empresa,nota,avaliacoes
 TREND Operadora ,"3,4", 78
 Ferrero ,"3,4", 554
 Bloomberg L.P. ,"3,8"," 3,9k"
 Red Bull ,"4,1"," 1,5k"
 Microlins ,"3,5", 227
 BV Financeira ,"4,2", 140
 Pagar.me ,"4,3", 68
 FIAP ,"3,3", 66
 Bionexo ,"4,0", 66
 Imovelweb ,"4,0", 63
 Tel Telemática ,"2,8", 236
 Youse Seguradora ,"4,5", 70
 Nokia ,"4,2"," 9,0k"
 IQVIA ,"3,5"," 4,1k"
 Kumon Group ,"3,8"," 2,1k"
 PPG ,"3,2"," 1,2k"
 AIESEC ,"4,4"," 1,1k"
 Brazil Fast Food ,"3,3", 347
 Cotação DTVM ,"3,7", 102
 Easy Taxi ,"3,5", 99
 Pop Trade Marketing ,"3,7", 93
 Poupatempo ,"3,6", 91
 Voith Hydro ,"3,9", 83
 Hospital São Paulo ,"2,8", 71
 Siscom (Brazil) ,"3,1", 66
 DP6 ,"4,8", 62
 Bank of America ,"3,6", 22k
 Adecco ,"3,4"," 3,6k"
 Fujitsu ,"3,2"," 2,9k"
 Mapfre ,"3,5", 274
 Otis Elevadores ,"3,5", 155
 Leão Alimentos e Bebidas ,"3,9", 120
 PagSeguro ,"4,1", 103
 SysMap Solutions ,"3,8", 99
 Escola Superior De Propaganda E Marketing (ESPM) ,"3,9", 99
 Track & Field ,"3,3", 97
 Pluris Mídia ,"3,5", 65
 Gep Indústria Comércio ,"3,4", 62
 Siemens Healthineers ,"3,9"," 1,0k"
 FCA Fiat Chrysler Automobiles ,"3,5"," 3,6k"
 Thermo Fisher Scientific ,"3,4"," 3,3k"
 Gemalto ,"3,4", 920
 Arezzo ,"3,5", 180
 Cabify ,"3,4", 130
 Sascar Tecnologia Automotiva ,"3,2", 106
 Promon Group ,"4,0", 96
 EF English Live ,"3,6", 85
 Ministério Público do Estado de São Paulo (MPSP) ,"4,2", 82
 VR Benefits ,"4,0", 73
 Carrefour Soluções Financeiras ,"3,5", 72
 Grupo TV1 ,"3,0", 72
 AUNDE Achter & Ebels ,"3,1", 66
 Zaraplast ,"3,0", 64
 Prefeitura Municipal de São Bernardo do Campo ,"3,3", 64
 The Coca-Cola Company ,"3,8"," 5,7k"
 Wolters Kluwer ,"3,2"," 2,0k"
 Electrolux ,"3,6"," 1,2k"
 Andrade Gutierrez ,"3,9", 278
 Festo ,"3,5", 242
 Machado Meyer ,"3,9", 87
 RDI Software ,"3,7", 77
 Orbitall ,"3,1", 77
 M. Officer ,"3,0", 74
 Grupo Comunique-se ,"4,0", 73
 MCassab ,"3,5", 71
 dr.consulta ,"2,8", 66
 Hospital Nipo-Brasileiro ,"3,6", 64
 SIDI ,"3,8", 73
 Amdocs ,"3,7"," 4,7k"
 Hyatt ,"3,9"," 3,0k"
 Extrafarma ,"3,3", 152
 FiTec ,"3,5", 128
 InBrands ,"3,6", 121
 Grupo Graber ,"3,7", 96
 Tenda Atacado ,"3,4", 78
 Secretaria da Fazenda e Planejamento do Estado de São Paulo ,"3,2", 75
 Vigna Advogados Associados ,"3,7", 72
 Hospital do Coração HCor ,"4,1", 70
 Prodesp ,"3,4", 65
 FIESP ,"3,6", 62
 Cappta ,"3,6", 57
 Pontifícia Universidade Católica de São Paulo ,"3,6", 55
 Sephora ,"3,5"," 3,9k"
 Alcatel-Lucent ,"3,8"," 2,6k"
 Kerry ,"3,2", 727
 Globosat ,"4,3", 370
 CURY ,"3,3", 93
 Conductor (Brazil) ,"3,7", 92
" ""Trench, Rossi e Watanabe Advogados"" ","3,5", 72
 Insper ,"4,2", 70
 VAGAS Tecnologia ,"4,0", 63
 Actionline ,"2,8", 58
 Poliedro ,"3,9", 56
 Klabin ,"4,1", 355
 Ingram Micro ,"3,3"," 1,5k"
 WestRock ,"3,3", 961
 DSM ,"3,7", 494
 CTIS ,"3,4", 476
 Givaudan ,"3,9", 412
 BENTELER Group ,"3,6", 245
 Prysmian Group ,"3,1", 236
 Fosfertil ,"3,9", 143
 Bematech ,"3,7", 140
 Brasil Brokers ,"3,2", 139
 FSB Comunicações ,"3,1", 100
 Mosaic Fertilizantes do Brasil ,"3,6", 98
 Hinode ,"4,3", 98
 Red Balloon ,"4,0", 85
 Luigi Bertolli ,"3,8", 79
 Câmara Interbancária de Pagamentos (CIP) ,"3,6", 66
 Haganá Segurança ,"3,2", 64
 Editora Moderna ,"4,0", 63
 Fundação Cásper Líbero ,"4,0", 61
 Omie ,"4,1", 61
 Prefeitura Municipal de Santo André ,"3,3", 60
 Easynvest ,"4,0", 59
 Vindi ,"4,6", 58
 IHARA ,"3,4", 56
 ProPay BR ,"3,3", 55
 ML Gomes Advogados Associados ,"2,9", 63
 Mercer ,"3,4"," 2,8k"
 Panasonic ,"3,5"," 1,3k"
 Genesys ,"3,9"," 1,2k"
 CALVIN KLEIN ,"3,3", 548
 Yara Brasil ,"3,6", 203
 Blue Tree Hotels ,"3,3", 96
 Prefeitura Municipal de Sorocaba ,"3,6", 74
 DMCard ,"4,5", 62
 Sciensa ,"4,2", 60
 FIT - Instituto de Tecnologia ,"3,9", 58
 TMKT ,"3,1", 191
 Infojobs Brasil ,"3,9", 55
 RAPP ,"3,4", 327
 CWI Software ,"4,1", 318
 Legrand ,"3,4", 256
 Ri Happy ,"3,5", 106
 IFSP ,"3,9", 80
 Wickbold ,"4,3", 78
 Grupo Garantia Real (GR) ,"3,5", 69
 Alatur JTB ,"3,2", 58
 Atacadista Roldao ,"3,6", 56
 HS Prevent ,"2,6", 55
 Mercado Eletrônico ,"3,9", 54
 Hospital Santa Catarina ,"3,9", 82
 Coty ,"2,8"," 1,1k"
 Softplan ,"3,9", 497
 Rumo ,"3,7", 345
 Instituto Nacional da Seguridade Social ,"3,3", 255
 J. Macêdo ,"3,4", 153
 Estre Ambiental ,"3,6", 68
 Hospital Santa Paula ,"4,0", 63
 Minuto Seguros ,"3,9", 60
 Localcred ,"3,5", 57
 Cel.Lep ,"2,7", 54
 Foxbit ,"4,6", 51
 IntelServ ,"2,7", 53
 Morgan Stanley ,"3,7"," 7,8k"
 Kelly Services ,"3,4"," 4,6k"
 Allergan ,"3,6"," 1,4k"
 Hyundai Motor ,"3,7"," 1,1k"
" Brink's, Incorporated ","2,8", 758
 Sulzer ,"3,6", 337
 Comau ,"3,6", 297
 Coats ,"3,4", 170
 Benner Solution ,"3,1", 167
 SESI-SP ,"4,0", 103
 CCEE ,"3,9", 54
 Hospital do Servidor Público Estadual IAMSPE ,"2,8", 53
 Esporte Clube Pinheiros ,"3,7", 53
 GetNinjas ,"4,5", 53
 Companhia Docas do Estado de São Paulo - CODESP ,"3,7", 51
 Koin ,"4,6", 51
 Salomão Zoppi Diagnósticos ,"3,7", 49
 ADTsys ,"3,3", 49
 Mexichem ,"4,1", 188
 Janssen ,"4,0", 602
 GlaxoSmithKline ,"3,8"," 5,0k"
 Penske Truck Leasing ,"3,5", 874
 Canon ,"3,3", 684
 Brazilian Institute of Geography and Statistics ,"3,9", 557
 CCAA ,"3,4", 325
 SENAI ,"3,8", 262
 Stone ,"4,0", 169
 Westwing Home and Living ,"3,7", 160
 Espaço Laser ,"3,6", 96
 InterCement ,"3,8", 93
 Toledo do Brasil Indústria de Balanças ,"3,9", 65
 Instituto do Coração (Incor) do Hospital das Clínicas da FMUSP ,"3,7", 58
 Semantix ,"4,2", 58
 Comercial Esperança ,"3,7", 57
 PRAVALER ,"2,9", 53
 Geofusion ,"3,5", 52
 Prefeitura Municipal de Taboão da Serra ,"2,3", 52
 Villares Metals ,"4,2", 52
 Reed Exhibitions Alcântara Machado ,"3,4", 51
 PRODAM ,"3,9", 51
 Merial Saude Animal ,"3,9", 49
 Synapcom ,"3,8", 49
 eduK ,"4,2", 48
 Hospital Leforte ,"3,9", 49
 Intel Corporation ,"4,0", 14k
 Robert Half ,"3,5"," 6,8k"
 A.T. Kearney ,"4,3", 925
 Petrobras ,"4,2", 628
 TÜV Rheinland ,"3,2", 269
 Brookfield Incorporações ,"3,7", 125
 Confidence Cambio ,"3,6", 89
 Método Engenharia ,"3,6", 66
" ""Cescon, Barrieu, Flesch & Barreto Advogados"" ","3,4", 66
 Fundação Casa ,"2,9", 64
 Aceco TI ,"3,5", 57
 Sorridents Clínicas Odontológicas ,"3,1", 54
 Prefeitura Municipal de Jundiaí ,"3,9", 53
 FINNET ,"3,3", 53
 EZTEC ,"3,5", 51
 Moip ,"3,6", 50
 SBK Business process outsourcing ,"3,3", 49
 Colégio Visconde de Porto Seguro ,"4,0", 57
 Stanley Black & Decker ,"3,2"," 1,2k"
 Salesforce ,"4,3"," 5,5k"
 PayPal ,"3,8"," 3,4k"
 LinkedIn ,"4,3"," 2,8k"
 R.R. Donnelley ,"3,1"," 2,0k"
 Estée Lauder Companies ,"3,6"," 1,6k"
 Freelancer ,"3,7"," 1,1k"
 Sealed Air Corporation ,"3,4", 592
 Kantar Worldpanel ,"3,6", 318
 Martin-Brower ,"3,1", 305
 Endeavor Global ,"4,4", 144
 Instituto de Atenção Básica e Avançada è Saúde ,"3,4", 86
 MEGA ,"4,2", 75
 Wittel ,"3,4", 62
 Blinks ,"4,2", 55
 CPFL Renováveis ,"3,9", 53
 Prefeitura de Mogi das Cruzes ,"3,2", 50
 Mandaê ,"3,4", 49
 Ingresso Rápido ,"3,7", 49
 Vidalink ,"3,5", 49
 Câmara Municipal de São Paulo ,"4,4", 45
 Wavy Global ,"4,5", 43
 Young & Rubicam ,"3,5", 416
 Medtronic ,"3,6"," 3,7k"
 Avaya ,"3,3"," 2,4k"
 ReachLocal ,"4,0", 757
 VLI ,"3,8", 405
 Panalpina ,"3,4", 402
 Farmácias Pague Menos ,"3,5", 353
 Joyson Safety Systems ,"3,2", 226
 Neoway ,"4,5", 161
 Tegma ,"3,8", 81
 Sunset Comunicação ,"3,3", 52
 Valor Econômico ,"3,4", 48
 Verity ,"3,2", 47
 Grupo CBC ,"3,1", 47
 New_Content ,"3,4", 46
 ConectCar ,"3,9", 45
 PSM Company ,"3,6", 45
 3CON (Brazil) ,"3,9", 64
 Facebook ,"4,3"," 3,9k"
 Equinix ,"3,8", 657
 DENSO ,"3,6", 530
 Fresenius Kabi ,"3,3", 339
 Mercantil do Brasil ,"3,9", 264
 EMBRAPA ,"4,2", 217
 Aisin Group ,"3,0", 204
 OLX Brasil ,"4,5", 146
 Carglass ,"3,5", 111
 Óticas Carol ,"3,6", 86
 Le Postiche ,"3,3", 65
 Femme - Laboratório da Mulher ,"3,6", 59
 Colégio Santa Catarina ,"3,4", 59
 Alphavox ,"2,9", 52
 Khelf ,"3,2", 51
 Empresa Metropolitana de Transportes Urbanos (EMTU) ,"3,9", 47
 Companhia de Engenharia de Tráfego (CET) ,"3,7", 47
 Orcozol ,"3,2", 46
 MAPS (Brazil) ,"3,5", 45
 Flextronics Internacional Tecnologia ,"3,9", 43
 Axalta ,"3,3", 289
 Bristol-Myers Squibb ,"3,8"," 1,8k"
 Assurant ,"3,2"," 1,6k"
 Protiviti ,"3,8"," 1,5k"
 DB Schenker ,"3,1", 911
 Leo Burnett ,"3,7", 747
 Newell Brands ,"2,7", 696
 Grey Group ,"3,4", 575
 Cristália ,"3,9", 145
 Receita Federal ,"3,9", 136
 FutureBrand ,"3,3", 100
 Grupo SURA ,"4,0", 73
 Brisa (Brazil) ,"2,5", 72
 Grupo Serveng ,"3,4", 65
 Pósitron ,"3,9", 58
 WTorre ,"3,8", 57
 Lopes Consultoria ,"3,1", 57
 Integration Consulting ,"4,7", 56
 Santista ,"3,3", 55
 Passarela Calçados ,"3,5", 55
 GSW Software ,"3,8", 51
 ALL NET ,"2,6", 51
 Ultrafarma ,"3,7", 50
 CMPC Melhoramentos ,"3,8", 47
 Lojas Marabraz ,"3,5", 46
 Embrase ,"3,4", 44
 Liderança Cobranças Inteligentes ,"3,5", 44
 Titans Group ,"2,9", 44
 Abyara ,"3,1", 42
 Polo Wear ,"3,2", 92
 Grupo ASSA ,"3,3", 150
 Grupo Bio Ritmo ,"3,9", 47
 Walt Disney Company ,"3,7"," 5,1k"
 Regus ,"2,6"," 1,6k"
 ESPN ,"3,8", 882
 CMA CGM ,"3,6", 395
 Novelis ,"3,7", 366
 International Flavors & Fragrances ,"3,6", 328
 Lactalis ,"3,5", 247
 Beblue ,"3,2", 183
 Pilkington North America ,"3,8", 163
 Saint-Gobain Weber ,"3,8", 90
 Atlantica Hotels & Resorts ,"3,1", 89
 CI ,"3,1", 81
 Superbid ,"3,4", 72
 Credigy Solutions ,"4,3", 72
 Foxconn ,"3,7", 71
 Triad Systems ,"3,4", 60
 Grupo Orbital ,"3,3", 58
 Grupo Tejofran ,"3,6", 55
 Produquímica ,"3,5", 52
 International School Brasil ,"3,5", 50
 Grupo Interplayers ,"3,8", 48
 UNIESP ,"2,6", 48
 Universidade São Judas Tadeu ,"3,4", 47
 Ícaro Technologies ,"3,9", 47
 Escola Móbile ,"4,0", 46
 Level Up! Games ,"4,5", 45
 Sanasa Brasil ,"3,9", 45
 Software Express Informática ,"3,0", 44
 Ultrapar ,"3,8", 44
 Apdata ,"3,2", 42
 Art IT ,"3,4", 40
 Vale ,"4,0"," 1,9k"
 BMW ,"4,0"," 1,8k"
 Turner Broadcasting ,"3,8"," 1,3k"
 Berlitz ,"2,9", 812
 SKF ,"3,9", 476
 NSK ,"2,9", 105
 Procuradoria Geral da Fazenda Nacional (PGFN) ,"4,0", 103
 Terra Networks ,"3,8", 91
 Giraffas ,"2,9", 86
 Cicsa ,"3,3", 82
 Adobe Assessoria de Serviços Cadastrais ,"4,0", 81
 In Press Porter Novelli ,"3,4", 57
 Banco Fibra ,"3,3", 50
 Helbor ,"3,2", 50
 Avibras ,"4,1", 49
 InfoPrice ,"4,3", 48
 Vermont (Brazil) ,"3,3", 47
 Decision Group ,"3,3", 47
 Alper Consultoria em Seguros ,"3,0", 46
 Mandic ,"3,3", 45
 Funcamp ,"4,1", 43
 quantiQ ,"3,2", 43
 Olimpio de Azevedo Advogados ,"3,0", 42
 Faculdade das Américas (FAM) ,"2,9", 42
 CB Contact Center ,"2,7", 42
 Banco Daycoval ,"3,4", 50
 Shell ,"3,9"," 5,1k"
 Mattel ,"3,5", 890
 Sicredi ,"4,0", 706
 White Martins ,"3,7", 258
 Gi Group ,"3,1", 178
 BMG ,"4,0", 97
 Vivante ,"3,6", 86
 Amsted Maxion ,"3,9", 57
 IMS Health ,"3,8", 53
 Aeroporto Internacional de Viracopos - Campinas ,"3,9", 52
 Dimep Sistemas ,"2,7", 50
 ZF do Brasil ,"4,1", 48
 Comerc Energia ,"4,4", 45
 Vella Pugliese Buosi e Guidoni Advogados ,"3,3", 43
 Agência Mestre ,"2,6", 41
 Plusoft ,"3,1", 40
 Prefeitura Municipal de Santana de Parnaíba ,"3,4", 40
 ePharma ,"4,0", 40
 Deal ,"3,6", 55
 Marcelo Tostes Advogados ,"3,3", 59
 E-vertical ,"3,4", 40
 UBS ,"3,5"," 5,5k"
 CA Technologies ,"3,8"," 3,2k"
 NTT ,"3,5"," 1,7k"
 Alcoa ,"3,8", 869
 Ketchum ,"3,5", 444
 Telemont ,"3,5", 336
 Sotreq ,"4,0", 223
 Rede Globo ,"3,8", 210
 Tower International ,"3,5", 129
 Ricoh UK ,"3,2", 129
 Tel Telecomunicações ,"3,8", 99
 Empresa Brasileira de Bebidas e Alimentos (Ebba) ,"2,3", 59
 Banco Alfa ,"3,5", 54
 Focus Tributos ,"2,7", 53
 Odontoclinic ,"3,0", 52
 Tribunal Regional Federal da 3ª Região ,"4,0", 50
 King Star Colchões ,"3,8", 44
 Seta Atacadista ,"3,4", 44
 Enext ,"3,7", 44
" ""Pipek, Penteado e Paes Manso Advogados Associados"" ","3,3", 43
 Dinda.com.br ,"2,9", 42
 Acesso Soluções de Pagamento ,"3,1", 42
 Quaddra Contact Center ,"2,7", 40
 Patria Investments ,"3,7", 40
 Drogarias Campeã ,"3,7", 39
 Contmatic Phoenix ,"3,1", 38
 Maplink ,"3,4", 38
 Praxio ,"3,6", 54
 Engineering Ingegneria Informatica ,"3,2", 137
 Progen ,"3,7", 100
 Agência Estado ,"2,8", 42
 HCL Technologies ,"3,4", 15k
 Goldman Sachs ,"3,9"," 6,4k"
 BD ,"3,5"," 2,1k"
 ThoughtWorks ,"4,5"," 1,2k"
 Enel ,"3,7", 565
 LafargeHolcim ,"3,4", 553
 Reply ,"3,7", 456
 Symrise ,"3,6", 165
 Rodonaves Transportes e Encomendas - RTE ,"3,9", 152
 Minds English School ,"3,6", 98
 Sinqia ,"3,6", 71
 Detusche Bank ,"3,9", 58
 Zanc ,"3,0", 56
 Elog Logística ,"3,6", 55
 STB ,"3,1", 55
 Allied (Brazil) ,"3,5", 55
 Leo Madeiras ,"3,7", 49
 Agile Content ,"3,5", 48
 Banco ABC Brasil ,"4,1", 45
 Sensedia ,"3,8", 44
 Verzani e Sandrini ,"3,6", 44
 Estanplaza Hotels ,"3,9", 44
 Ericsson Gestão Serviços ,"3,5", 44
 GRAACC ,"3,9", 42
 Antilhas ,"3,8", 42
 SPTrans ,"3,8", 42
 Fundação Estudar ,"3,9", 42
 Accesstage Tecnologia ,"3,2", 40
 Informática de Municípios Associados ,"3,0", 36
 Procfit ,"3,3", 35
 Universidade de Mogi das Cruzes ,"3,6", 35
 CSC ,"2,9"," 6,6k"
 EF Education First ,"3,6"," 2,1k"
 Lear Corporation ,"3,6"," 1,0k"
 Lexmark International ,"3,5", 991
 Colliers International ,"3,4", 845
 Universidade Estácio de Sá ,"3,5", 473
 Enel X ,"3,4", 400
 Meritor ,"3,5", 304
 K2 Partnering Solutions ,"3,6", 174
 Visagio ,"4,5", 119
 Legião da Boa Vontade (LBV) ,"3,3", 108
 Melissa Shoes ,"3,7", 85
 CAF ,"3,3", 75
 Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (ANBIMA) ,"4,0", 71
 Fundação Procon ,"3,4", 57
 Grupo Delga ,"4,0", 56
 Vogel Telecom ,"2,8", 54
 Chery Brasil ,"2,8", 52
 Hospital e Maternidade Santa Joana ,"4,1", 51
 Agência Africa ,"3,7", 47
 Luandre Consultoria ,"3,7", 46
 Knijnik Engenharia Integrada ,"2,4", 38
 Associação dos Advogados de São Paulo ,"3,9", 37
 Prefeitura Municipal de Mauá ,"3,3", 37
 Valemobi ,"3,8", 37
 R Brasil Soluções ,"3,5", 37
 Química Anastácio ,"3,1", 37
 Fundação Instituto de Administração ,"3,8", 36
 Unitono Brasil Social Contact Center ,"3,1", 39
 AT&T ,"3,3", 22k
 Warner Bros. ,"3,6"," 1,1k"
 Sandvik ,"3,8", 478
 Sistema de Cooperativas de Crédito do Brasil ,"3,7", 473
 Cbpi ,"3,6", 305
 Apex Tool Group ,"3,4", 183
 SPAR Group ,"3,5", 158
 Diversey ,"3,0", 156
 Yamaha ,"3,4", 144
 Grupo TPC ,"3,8", 133
 Umicore ,"4,1", 112
 EloGroup ,"3,8", 99
 Cacau Show (Franqueado) ,"3,3", 96
 Polícia Civil do Estado de São Paulo ,"2,9", 52
 IBOPE ,"3,5", 50
 Geekie ,"3,9", 46
 Grupo Itavema ,"3,6", 46
 Mondial Eletrodomésticos ,"3,1", 44
 Imobiliária Lopes ,"2,8", 43
 Instituto Nacional de Pesquisas Espaciais ,"3,9", 42
 DPZ ,"4,0", 41
 Niazi Chohfi ,"2,3", 41
 Brasil/CT ,"3,7", 39
 Prefeitura Municipal de Itapevi ,"3,6", 38
 Complexo Hospitalar Edmundo Vasconcelos (CHEV) ,"3,6", 37
 Santa Helena Saúde ,"3,5", 37
 NGK NTK Cerâmicas e Velas de Ignição ,"3,6", 36
 Armarinhos Fernando ,"3,7", 35
 Fundação Vanzolini ,"3,2", 35
 RedeTV! ,"2,7", 64
 LANXESS ,"3,6", 190
 Symantec ,"3,5"," 4,2k"
 First Data ,"2,9"," 2,7k"
 Kellogg Company ,"3,5"," 1,9k"
 Renault ,"3,7"," 1,5k"
 AbbVie ,"3,8"," 1,3k"
 Dassault Systemes ,"3,7"," 1,1k"
 TransUnion ,"3,9", 820
 UL ,"3,6", 752
 Carlson Wagonlit Travel ,"3,1", 703
 Rabobank ,"3,7", 685
 Japan Tobacco International ,"3,9", 598
 Algar Telecom / CTBC Telecom ,"3,8", 277
 H. Stern ,"3,5", 115
 Liquigás Distribuidora ,"4,0", 112
 Mundivox ,"2,7", 110
 Veirano Advogados ,"4,0", 88
 Ike Asistencia Mexico ,"3,0", 51
 Hcor ,"3,6", 50
 Cetelem ,"3,5", 50
 Associação de Assistência à Criança Deficiente ,"3,6", 49
 Ecorodovias ,"3,5", 48
 Myralis Pharma ,"3,1", 44
 Copersucar ,"3,9", 43
 CDN Communication ,"3,4", 42
 Tapps Games ,"3,7", 41
 Termomecanica ,"3,8", 41
 Benício Advogados Associados ,"3,3", 40
 Supermercados Veran ,"3,5", 39
 Banco Rendimento ,"3,8", 38
 Indústrias Romi ,"3,2", 38
 Coelho da Fonseca ,"2,9", 37
 OS Santa Catarina ,"3,7", 34
 Mira Educação ,"4,7", 34
 Spring Valley Wireless ,"3,1", 33
 Ituran ,"4,0", 59
 Hays ,"3,9"," 2,6k"
 Red Hat ,"4,1"," 1,5k"
 Eurofins Scientific ,"2,9"," 1,2k"
 JBS ,"3,6", 236
 Knorr-Bremse ,"3,3", 227
 Serviço Social da Indústria (SESI) ,"4,0", 189
 BNP Paribas Cardif ,"3,4", 188
 Quality ,"3,0", 142
 ISBAN ,"3,3", 114
 Centauro Loja de Esporte ,"3,7", 87
 Brooksfield ,"3,2", 61
 Commcenter ,"3,2", 58
 Torra Torra ,"3,5", 55
 Sonae Sierra ,"3,9", 51
 Hospital SPDM ,"3,8", 48
 AES Tietê ,"3,9", 47
 Autometal ,"3,4", 45
 Secretaria Municipal do Verde e do Meio Ambiente ,"3,8", 45
 Omni Financeira ,"3,9", 45
 Nitro Química ,"4,0", 42
 Agility Networks Tecnologia ,"3,9", 40
 Live University ,"3,7", 40
 Hospital Beneficência Portuguesa São Paulo ,"3,9", 39
 Foursys Brasil ,"3,6", 38
 São Paulo Previdência (SPPREV) ,"3,2", 38
 Farma Ponte ,"2,6", 38
 Pontal Calçados ,"3,5", 37
 Wappa ,"3,8", 37
 Livraria da Vila ,"2,8", 37
 Gertec ,"3,5", 37
 E-Deploy ,"2,7", 37
 Bardella ,"3,6", 36
 Conversion Brasil ,"3,3", 36
 Hospital Estadual Mário Covas ,"3,8", 36
 Zoly ,"3,8", 36
 Fundação Instituto de Pesquisas Econômicas (FIPE) ,"4,2", 35
 It'sSeg ,"3,1", 35
 Universidade de Santo Amaro (UNISA) ,"3,1", 34
 Hospital Cema ,"3,1", 34
 Central de Funcionamento (CDF) ,"3,5", 34
 Grupo Viceri ,"3,6", 33
 CETESB ,"3,1", 33
 Construdecor ,"2,6", 32
 RMA Comunicação ,"3,9", 32
 SEMP TCL ,"3,6", 77
 Gauge ,"3,2", 41
 Sonepar ,"3,2", 113
 Universidade Guarulhos ,"3,2", 38
 Montreal Informática ,"3,6", 179
 LinkAPI ,"4,7", 36
 Agility ,"3,2", 288
 Superlógica ,"3,8", 31
 Booking.com ,"3,3"," 2,6k"
 OpenText ,"3,2"," 1,6k"
 Crowe ,"3,8"," 1,0k"
 Cinépolis ,"3,6", 791
 Hilti Group ,"3,7", 757
 WEG Indústrias ,"4,2", 437
 Firmenich ,"3,7", 293
 WABCO ,"3,6", 268
 Biosev ,"3,5", 209
 ibis ,"3,7", 204
 Sika ,"3,4", 181
 JACOBS DOUWE EGBERTS ,"3,6", 146
 Belgo Bekaert Arames ,"3,9", 110
 Grupo Empreza ,"2,5", 101
 Liderança Serviços ,"3,4", 100
 Dürr ,"3,6", 92
 Sodimac ,"3,4", 85
 Arysta LifeScience ,"4,0", 81
 Serasa Consumidor ,"3,5", 56
 Anhanguera ,"3,5", 52
 Socicam ,"3,7", 50
 Luiza Labs ,"4,3", 50
 Puket ,"3,5", 48
 Carlos Chagas Hospital ,"3,4", 48
 Loja Youcom ,"3,6", 46
 Wheaton ,"3,7", 39
 Sociedade Beneficiente De Senhoras Hospital Sírio Libanes ,"4,2", 38
 Grupo Recovery ,"3,9", 38
 Riot ,"3,5", 38
 Three Gorges Corporation (CTG) Brasil ,"3,6", 37
 Prefeitura Municipal de Itanhaém ,"2,5", 36
 Banco Volkswagen ,"3,9", 35
 ECC English Conversation Course ,"3,3", 34
 MZ Group ,"3,5", 34
 Cia de Talentos ,"4,1", 33
 Oppa Design ,"3,5", 33
 Autbank ,"2,9", 32
 Universidade Cidade de São Paulo (UNICID) ,"3,7", 29
 Link Consulting ,"3,7", 69
 Alert Brasil ,"2,9", 61
 Hertz ,"2,7"," 4,6k"
 Motorola Mobility ,"3,6"," 2,3k"
 Rakuten ,"3,0", 788
 Dana (OH) ,"3,3", 386
 syncreon ,"3,1", 320
 Ingredion ,"3,5", 302
 Fnac ,"3,4", 274
 Cheil Worldwide ,"3,0", 268
 JCDecaux ,"3,0", 265
 Direcional Engenharia ,"3,3", 248
 DPD ,"3,2", 241
 Defensoria Pública da União ,"4,3", 186
 Queiroz Galvão ,"3,8", 164
 Epson America ,"3,7", 155
 Bodytech ,"3,3", 139
 Objective Solutions ,"4,4", 91
 MSC Cruzeiros ,"3,5", 87
 GrandVision ,"3,3", 75
 Flora ,"3,5", 61
 Rommanel ,"3,6", 58
 Nimbi ,"3,2", 53
 Toledo Piza Advogados ,"3,2", 52
 Foundation of Management Development ,"3,7", 45
 Wildlife Studios ,"4,1", 44
 LSI-TEC ,"2,8", 43
 Elsys Eletrônicos ,"3,7", 43
 Ricoy Supermercados ,"2,9", 39
 Forma Turismo ,"3,9", 38
 HSM Educação Corporativa ,"3,1", 37
 Petlove (Brazil) ,"4,3", 37
 tech.fit ,"3,7", 36
 Autopass ,"3,3", 36
 IMAGEM Geosistemas ,"3,6", 34
 Boxnet ,"2,9", 33
 Assembleia Legislativa do Estado de São Paulo ,"4,2", 32
 Geru ,"4,1", 32
 Escala Editora ,"2,9", 31
 Prefeitura de Suzano ,"3,3", 31
" ""Lacaz Martins, Pereira Neto, Gurevich & Schoueri Advogados"" ","3,4", 31
 Guima Conseco ,"2,9", 30
 Sweda Automação Comercial ,"3,3", 29
 Wilson Sons ,"3,9", 225
" Baker Hughes, a GE company ","3,7", 971
 Temon ,"3,7", 36
 Apple ,"4,0", 16k
 Experian ,"3,8"," 2,0k"
 Novo Nordisk ,"4,0"," 1,1k"
 Audi ,"3,9", 743
 Informa ,"3,2", 644
 Verifone ,"2,5", 592
 Daiichi Sankyo ,"3,1", 383
 Andritz ,"3,7", 325
 Wieden+Kennedy ,"4,2", 212
 Kärcher ,"3,3", 198
 Techint ,"3,8", 179
 Uptime Consultants ,"3,3", 150
 Vicunha Têxtil ,"3,8", 138
 Perfetti Van Melle ,"3,5", 122
 Lider Aviação ,"3,3", 111
 Cremer ,"3,5", 110
 Egali Intercâmbio ,"3,4", 104
 Amrop ,"3,6", 73
 SAS UK ,"4,2", 68
 Drogarias Farmais ,"3,3", 60
 Loungerie ,"3,5", 57
 Fasano Hotels and Restaurants ,"4,0", 54
 Almeida Kruger ,"3,1", 53
 Grupo Souza Lima ,"3,1", 52
 Transamerica Hospitality Group ,"3,6", 51
 Hospital Santa Cruz ,"3,6", 48
 TheraSkin Farmacêutica ,"3,6", 43
 Poupafarma ,"3,4", 41
 Autarquia Hospitalar Municipal ,"3,2", 38
 Supermercado Pague Menos ,"3,5", 38
 Opus Software ,"4,4", 37
 Lello Condomínios ,"3,8", 37
 Grupo CRM ,"3,4", 35
 Teresa Perez Tours ,"3,1", 35
 SAS SECONCI SP ,"3,9", 34
 Prefeitura Municipal de Guarujá ,"4,1", 34
 Proxis ,"3,3", 34
